N,sentence
93,"Gracias al esfuerzo entre los distintos niveles de gobierno en estos momentos  ya se  encuentran  también  en  construcción  importantes  hospitales,  como  Ayabaca, Huarmaca, Huancabamba, que permitirán que cientos de miles de peruanos tengan infraestructura de salud de primer nivel."
94,"Quiero hacer referencia al gran evento que se está llevando adelante en nuestro país:  los  XVIII  Juegos  Panamericanos  y  Parapanamericanos,  un  evento  que  nos llena de orgullo peruano."
95,Esta  es  una  gran  fiesta deportiva y cultural que toda América está disfrutando.
96,Lima 2019 ha movilizado a los peruanos de una manera nunca antes vista: todos trabajando juntos para llevar a cabo con éxito el evento deportivo más grande que se haya realizado en el Perú.
97,Imaginen  si  hubiésemos  hecho  caso  a  esa  máquina  de  impedir  que  se hagan las cosas.
98,"Durante estos juegos estamos albergando alrededor de ciento setenta y cinco mil turistas para disfrutar las competencias, que es la más importante en el continente y solo superada por los Juegos Olímpicos."
99,Recibamos a todos los visitantes con lo mejor de nosotros.
100,Seamos los mejores anfitriones del mundo.
101,"Quiero, además, en nombre de todos los peruanos, felicitar y agradecer a todos los atletas que ponen su máximo esfuerzo por el Perú."
102,"Nuestro especial reconocimiento a  Gladys  Tejeda,  Christian  Pacheco  y  Diego  Elías,  son  nuestros  tres  primeros campeones."
103,A través del desarrollo y la inclusión social cerraremos las brechas que aún existen en el país para mejorar el bienestar de peruanos y peruanas.
104,La  educación  es  una  de  las  grandes  prioridades  de  mi  gobierno.
105,"Durante  mi trayectoria personal y de servicio al país, siempre he demostrado mi compromiso con este sector."
106,"Como presidente regional de Moquegua, y hoy como presidente de la  República,  estoy  convencido  que  la  educación  es  el  pilar  fundamental  para  el progreso y desarrollo."
107,Nuestros  niños  merecen  ambientes  adecuados.
108,"Al 2021 se entregarán 2,800 nuevas escuelas con una inversión proyectada de 7,800 millones de soles, beneficiando  a  más  de  un  millón  de  estudiantes."
109,"En  el  plan  de  mantenimiento  de  locales  escolares,  hemos  transferido  S/  358 millones de soles para el mantenimiento de 53,000 locales escolares."
110,"En ese camino, hemos iniciado el proceso de licenciamiento de los institutos de educación superior tecnológicos (IEST) públicos y privados."
111,"A la fecha  se  han  licenciado  52  institutos  tecnológicos  y  una  escuela  de  educación tecnológica,  que  son  los  que  concentran  el  30%  del  total  de  la  matrícula  a  nivel nacional."
112,"Nos  hemos  propuesto  impulsar  el  desarrollo  de  26  Institutos  Tecnológicos  de Excelencia (IDEX), uno en cada región."
113,"En  relación  con  la  educación  universitaria  de  calidad,  se  han  licenciado  hasta  el momento  76  universidades,  las  cuales  alcanzaron  las  condiciones  básicas  de calidad y cumplieron las exigencias de la Ley Universitaria."
114,"Al mismo tiempo, se ha denegado la licencia a 11 universidades que no cumplían con los criterios de calidad necesarios."
115,Los estudiantes de las universidades que no lograron su licenciamiento podrán  culminar  sus  estudios  en  universidades  licenciadas  que  cuentan  con condiciones de calidad.
116,"Educación universitaria sí, pero el Estado tiene que garantizar que sea educación de calidad."
